run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.9,1972,1927,0.022819472616632863
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,2.0,1972,1928,0.022312373225152116
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.0,1972,1735,0.12018255578093306
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.1,1972,1819,0.07758620689655171
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.2,1972,1866,0.053752535496957354
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.3,1972,1896,0.03853955375253548
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.4,1972,1911,0.03093306288032449
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.5,1972,1920,0.026369168356997985
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.6,1972,1925,0.02383367139959436
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.7,1972,1931,0.020791075050709984
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.8,1972,1939,0.016734279918864114
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,0.9,1972,1939,0.016734279918864114
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.0,1972,1942,0.015212981744421872
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.1,1972,1942,0.015212981744421872
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.2,1972,1942,0.015212981744421872
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.3,1972,1943,0.014705882352941124
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.4,1972,1944,0.014198782961460488
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.5,1972,1944,0.014198782961460488
20251217_184957,autumn,HMB_4,Upsampled,0.5,0.01,0.02,1.6,1972,1944,0.014198782961460488
